ID,ent-name,ent-adrs,ent-adrs-pub,ent-zip,ent-city,ent-cnty,ent-st,ent-cntry,website,ent-cnct,ent-cnct-pub,ent-email,ent-email-pub,ent-phone,ent-phone-pub,ent-type,ent-include,disp-adrs-zip,disp-output,geo-scope,ent-tags,ent-desc-eng,ent-desc-loglang,ent-img-link,ent-img-lic,ent-img-crdt,lon,lat,rec-src,rec-udt-by,rec-updt-date
209,CHILDRENS LITERACY INITIATIVE,641 W LAKE ST 200,yes,60661,Chicago,,IL,USA,https://cli.org/,,,,,(312) 726-7320,yes,Social Workshop,yes,address,both,local,,,,,,,-87.644481,41.885383,SEWG,DC,2020-12-26
210,Chinatown Branch Library,2100 S. Wentworth Avenue,yes,60616,Chicago,,IL,USA,http://www.chipublib.org/locations/20,,,,,,,Library,yes,address,both,local,,,,,,,-87.63190778,41.85430476,data.cityofchicago.org,SE,2020-12-26
211,Chinese American Museum,238 W. 23rd Street,yes,60616,Chicago,,IL,USA,www.ccamuseum.org,,,,,,,museum,yes,address,both,local,,,,,,,-87.63416412,41.85103361,Accelerate77,SE,2020-12-26
212,Chinese American Service League,2141 S. Tan Court,yes,60616,Chicago,,IL,USA,www.caslservice.org,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.63480216,41.85491579,Accelerate77,SE,2020-12-26
213,Chinese Community Center,250 W. 22nd Place,yes,60616,Chicago,,IL,USA,ccbachicago.org,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.6333971,41.85224382,Accelerate77,SE,2020-12-26
214,Chinese Mutual Aid Association,1016 W Argyle St,yes,60640,Chicago,,Il,USA,www.chinesemutualaid.org/,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.65561547,41.97339231,Accelerate77,SE,2020-12-26
215,City Bureau,6100 S. Blackstone Ave.,yes,60637,Chicago,,Il,USA,https://www.citybureau.org/,,,,,,,media,yes,address,both,local,,,,,,,-87.59038586,41.78388065,Darryl Holliday,SE,2020-12-26
216,City Farm,1204 N. Clybourn Ave.,yes,60610,Chicago,,IL,USA,www.facebook.com/CityFarmChicago/,,,,,,,Farm,yes,address,both,local,,,,,,,-87.63980332,41.90382675,Accelerate77,SE,2020-12-26
217,Civic Knowledge Project,1115 E. 58th Street,yes,60637,Chicago,,IL,USA,http://civicknowledge.uchicago.edu,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.59840865,41.78951162,Accelerate77,SE,2020-12-26
218,Claretian Associates,9108 S. Brandon Ave,yes,60617,Chicago,,IL,USA,claretianassociates.org,,,,,,,Housing Coop,yes,address,both,local,,,,,,,-87.54701729,41.72996474,Accelerate77,SE,2020-12-26
219,Clearing Branch Library,6423 W. 63rd Place,yes,60638,Chicago,,IL,USA,http://www.chipublib.org/locations/21,,,,,,,Library,yes,address,both,local,,,,,,,-87.78178416,41.77667847,data.cityofchicago.org,SE,2020-12-26
220,Co-Prosperity Sphere,3219 S Morgan St,yes,60608,Chicago,,IL,USA,http://coprosperity.org/,,,,,,,Arts Centre,yes,address,both,local,,,,,,,-87.65099632,41.83572722,Accelerate77,SE,2020-12-26
221,Coleman Branch Library,731 E. 63rd Street,yes,60637,Chicago,,IL,USA,http://www.chipublib.org/locations/18,,,,,,,Library,yes,address,both,local,,,,,,,-87.60717834,41.78030109,data.cityofchicago.org,SE,2020-12-26
222,Collective Dance,1730 W FULLERTON AVE # 24,yes,60614,Chicago,,IL,USA,https://www.collectivedancechicago.com/,,,,,312-522-1388,yes,Arts Centre,yes,address,both,local,,,,,,,-87.6730624,41.9259915,SEWG,DC,2020-12-26
223,College and University Credit Union,208 W Kinzie St Suite 1,yes,60654,Chicago,,IL,USA,http://creditunionaccess.com/cu60688.htm,,,,,(312)755-0997,yes,Credit Union,yes,address,both,local,,,,,,,-87.6341557,41.88925384,creditunionaccess.com,SE,2020-12-26
224,Commmunities United,4749 N. Kedzie Ave #200,yes,60625,Chicago,,IL,USA,www.apncorganizing.org,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.70835696,41.96752494,Accelerate77,SE,2020-12-26
225,Community & Economic Dev Association,208 S La Salle St # 1900,yes,60604,Chicago,,IL,USA,www.cedaorg.net/,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.63237426,41.87913914,Shareable Map,SE,2020-12-26
226,Community Exchange Garden,8805 S Exchange,yes,60617,Chicago,,IL,USA,https://www.facebook.com/ccjd1994/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.5525534,41.7352708,SEWG,DC,2020-12-26
227,Community Federal Credit Union,4610 S Prairie Ave,yes,60653,Chicago,,IL,USA,http://creditunionaccess.com/cu07256.htm,,,,,(773)373-8518,yes,Credit Union,yes,address,both,local,,,,,,,-87.61972673,41.81095679,creditunionaccess.com,SE,2020-12-26
229,Comrade Cycles,1908 W Chicago Ave,yes,60622,Chicago,,IL,USA,http://comradecycles.com/,,,,,,,Workers Collective,yes,address,both,local,,,,,,,-87.67501132,41.89603448,Steve Ediger,SE,2020-12-26
230,Cooperativa Visionarias,3848 E 105th St,no,60617,Chicago,,IL,USA,https://www.facebook.com/visionariascoop/,,,,,708.792.0932,Yes,Workers Collective,yes,address,directory,local,,,,,,,,,Steve Ediger,SE,2020-12-26
231,Cornerstone,4628 North Clifton Avenue,yes,60640,Chicago,,Il,USA,www.ccolife.org/,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.65894468,41.96590848,Accelerate77,SE,2020-12-26
232,CORPORATE AMERICA FAMILY CU,233 E WACKER DR # 4,yes,60601,Chicago,,IL,USA,https://www.cafcu.org/,,,,,(800) 359-1939,yes,Credit Union,yes,address,both,local,,,,,,,-87.6212218,41.8876127,SEWG,DC,2020-12-26
233,Cosmopolitan Federal Credit Union,5259 S Wabash Ave,yes,60615,Chicago,,IL,USA,http://creditunionaccess.com/cu24188.htm,,,,,(773)536-3614,yes,Credit Union,yes,address,both,local,,,,,,,-87.62410651,41.79889071,creditunionaccess.com,SE,2020-12-26
234,Covenantal Community of University Church,5655 S. University Ave,yes,60637,Chicago,,IL,USA,https://mccormick.edu/content/university-church-chicago-il,,,,,,,Housing Coop,yes,address,both,local,,,,,,,,,ChicagoCoop.net,SE,2020-12-26
235,CRAFTY BEAVER DO IT BEST,1522 W LAWRENCE AVE,yes,60640,Chicago,,IL,USA,https://www.craftybeaver.com/,,,,,(773) 271-2288,yes,hardware store,check,address,both,local,,,,,,,-87.6683617,41.9691051,SEWG,DC,2020-12-26
237,CRAFTY BEAVER DO IT BEST,4306 N CENTRAL AVE,yes,60634,Chicago,,IL,USA,https://www.craftybeaver.com/,,,,,(773) 725-4432,yes,hardware store,check,address,both,local,,,,,,,-87.7676466,41.9589947,SEWG,DC,2020-12-26
238,CRAFTY BEAVER DO IT BEST,4810 Oakton St,yes,60077,Skokie,,IL,USA,https://www.craftybeaver.com/,,,,,(773) 725-4432,yes,hardware store,check,address,both,local,,,,,,,-87.7676466,41.9589947,SEWG,DC,2020-12-26
242,CREDIT UNION 1,100 W RANDOLPH ST # 208,yes,60601,Chicago,,IL,USA,https://www.creditunion1.org/,,,,,(312) 782-7929,yes,Credit Union,yes,address,both,local,,,,,,,-87.6316716,41.8851533,SEWG,DC,2020-12-26
243,Credit Union 1,1737 W Polk St,yes,60612,Chicago,,IL,USA,creditunion1.org,,,,,,,Credit Union,yes,address,both,local,,,,,,,-87.67036879,41.87147709,Shareable Map,SE,2020-12-26
239,CREDIT UNION 1,1737 W POLK ST # 7,yes,60612,Chicago,,IL,USA,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,(312) 413-2431,yes,Credit Union,yes,address,both,local,,,,,,,-87.6705576,41.8711746,SEWG,DC,2020-12-26
244,Credit Union 1,450 E. 22nd Street Suite 250,yes,60148,Lombard,DuPage,IL,USA,http://creditunion1.coop,,,,,,,credit union,yes,address,both,local,,,,,,,-88.012305,41.8637289,dotcoop,SE,2020-12-26
240,CREDIT UNION 1,601 S MORGAN ST # B5,yes,60607,Chicago,,IL,USA,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,Credit Union,yes,address,both,local,,,,,,,-87.6509962,41.8737629,SEWG,DC,2020-12-26
241,CREDIT UNION 1,750 S HALSTED ST # 220C,yes,60607,Chicago,,IL,USA,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,(800) 252-6950,yes,Credit Union,yes,address,both,local,,,,,,,-87.6479531,41.8719123,SEWG,DC,2020-12-26
245,Crystal’s Peace Garden,3852 W Polk St,yes,60624,Chicago,,IL,USA,http://neighbor-space.org/2011/05/19/crystals-peace-garden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.7224444,41.8709983,SEWG,DC,2020-12-26
246,CTA South Federal Credit Union,8050 S King Dr,yes,60619,Chicago,,IL,USA,http://creditunionaccess.com/cu13533.htm,,,,,(773)783-5693,yes,Credit Union,yes,address,both,local,,,,,,,-87.607643,41.745767,creditunionaccess.com,SE,2020-12-26
247,CTAFC FEDERAL CREDIT UNION,14 S ASHLAND AVE,yes,60607,Chicago,,IL,USA,https://www.creditunionsonline.com/credit-union-3883.html,,,,,(312) 243-5190,yes,Credit Union,yes,address,both,local,,,,,,,-87.6672974,41.8808957,SEWG,DC,2020-12-26
248,Cumberland Green Cooperative,1798 Cumberland Green Dr,yes,60174,St. Charles,,IL,USA,https://cgcooperative.com/,,,,,,,Housing Coop,yes,address,both,local,,,,,,,,,ChicagoCoop.net,SE,2020-12-26
249,Cut Cats Collective,,,,Chicago,,IL,USA,http://cutcatscourier.com/,,,,,773.749.9084,Yes,Workers Collective,yes,address,directory,local,,,,,,,,,SEWG,DC,2020-12-26
250,D'PUC Credit Union,33 S State St Rm 8109,yes,60603,Chicago,,IL,USA,http://www.dpuccreditunion.com/,,,,,(312)793-5721,yes,Credit Union,yes,address,both,local,,,,,,,-87.62766927,41.88162153,creditunionaccess.com,SE,2020-12-26
251,Daley Plaza Downtown Market,50 W. Washington St.,yes,60602,Chicago,,IL,USA,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,Farmers Market,yes,address,both,local,,,,,,,-87.62963591,41.88330367,City of Chicago Farmers Markets,SE,2020-12-26
252,"Daley, Richard J.-Bridgeport Branch Library",3400 S. Halsted Street,yes,60608,Chicago,,IL,USA,http://www.chipublib.org/locations/14,,,,,,,Library,yes,address,both,local,,,,,,,-87.64624277,41.83279878,data.cityofchicago.org,SE,2020-12-26
253,"Daley, Richard M.-W Humboldt Branch Library",733 N. Kedzie Avenue,yes,60612,Chicago,,IL,USA,http://www.chipublib.org/locations/173,,,,,,,Library,yes,address,both,local,,,,,,,-87.70642886,41.89431884,data.cityofchicago.org,SE,2020-12-26
254,Data Commons Cooperative,,,,Chicago,,IL,USA,find.coop,,,,,505.426.7088,yes,Cooperative,yes,address,directory,local,,,,,,,,,SEWG,DC,2020-12-26
255,Deborah's Place,2822 W Jackson Blvd,yes,60612,Chicago,,IL,USA,https://www.deborahsplace.org,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.6971183,41.877663,SEWG,DC,2020-12-26
256,Dill Pickle Food Co-op,3039 W Fullerton Ave,yes,60647,Chicago,,IL,USA,dillpickle.coop,,,,,,,Food Cooperative,yes,address,both,local,,,,,,,-87.70345846,41.92466218,Shareable Map,SE,2020-12-26
257,Division Street Farmers Market *,Division St. & Dearborn Pkwy.,yes,60610,Chicago,,IL,USA,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,Farmers Market,yes,address,both,local,,,,,,,-87.636455,41.898992,City of Chicago Farmers Markets,SE,2020-12-26
258,Dorchester Community Garden,6953 S Dorchester Ave,yes,60637,Chicago,,IL,USA,https://www.facebook.com/dorchestergarden,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.590655,41.7680548,SEWG,DC,2020-12-26
259,Douglass Branch Library,3353 W. 13th St.,yes,60623,Chicago,,IL,USA,http://www.chipublib.org/locations/23/,,,,,,,Library,yes,address,both,local,,,,,,,-87.70988265,41.86443491,Accelerate77,SE,2020-12-26
260,Doveland Community Cooperative,1430 W. Leland,yes,60640,Chicago,,IL,USA,https://www.facebook.com/lelandhouse/,,,,,,,Housing Coop,yes,address,both,local,,,,,,,-87.66543866,41.96719668,Shareable Map,SE,2020-12-26
261,Downtown – Buying Club - Seven Sons Farms,1030 North Larrabee Street,yes,60610,Chicago,,IL,USA,https://sevensons.net/locations/downtown-chicago,,,,,,,Farm,yes,address,both,local,,,,,,,-87.6435067,41.9012315,Find.coop,SE,2020-12-26
262,Downtown – Federal Plaza Farmers Market *,Adams St. & Dearborn Pkwy.,yes,60604,Chicago,,IL,USA,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,Farmers Market,yes,address,both,local,,,,,,,-87.625562,41.875734,City of Chicago Farmers Markets,SE,2020-12-26
263,Downtown – Willis Tower Farmers Market *,233 S. Wacker Dr.,yes,60606,Chicago,,IL,USA,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,Farmers Market,yes,address,both,local,,,,,,,-87.63658586,41.87874781,City of Chicago Farmers Markets,SE,2020-12-26
264,Drake Community Garden,4646 N. Drake St.,yes,60625,Chicago,,IL,USA,https://www.facebook.com/DrakeGardens/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.717033,41.9655764,Accelerate77,SE,2020-12-26
265,Drexel House,6115 S Drexel Ave,yes,60637,Chicago,,IL,USA,http://www.ic.org/directory/drexel-house/,,,,,,,Housing Coop,yes,address,both,local,,,,,,,-87.60428513,41.78359478,Foundation for Intentional Community,SE,2020-12-26
266,Driven and Empowered Youth Inc.,3030 N Mobile Ave,yes,60634,Chicago,,IL,USA,deyinc.org,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.78350562,41.93597258,Shareable Map,SE,2020-12-26
267,Dunning Branch Library,7455 W. Cornelia Avenue,yes,60634,Chicago,,IL,USA,http://www.chipublib.org/locations/82,,,,,,,Library,yes,address,both,local,,,,,,,-87.81342867,41.94322853,data.cityofchicago.org,SE,2020-12-26
268,Dunning Community Garden,4243 N Neenah,yes,60634,Chicago,,IL,USA,https://www.facebook.com/Dunning-Community-Garden-289334171194445/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.79105197,41.95645248,Neighborspace,SE,2020-12-26
269,Dunning Read Conservation Area,4200 N. Oak Park Avenue,yes,60634,Chicago,,IL,USA,https://www.facebook.com/pages/Dunning-Read-Conservation-Area/215955825232493,,,,,,,Open Space,yes,address,both,local,,,,,,,-87.79764849,41.95689094,Accelerate77,SE,2020-12-26
270,Eagle Park,6366 N le Mai Ave,yes,60646,Chicago,,IL,USA,http://neighbor-space.org/eagle-park/,,,,,,,Open Space,yes,address,both,local,,,,,,,-87.7568363,41.997148,SEWG,DC,2020-12-26
272,Earthmover Credit Union,1008 N Bridge St,yes,60560,Yorkville,Kendall,IL,USA,http://earthmovercu.coop,,,,,630-844-4950,yes,Credit Union,yes,address,both,local,,,,,,,-88.315613,41.6992457,dotcoop,SE,2020-12-26
273,Earthmover Credit Union,1037 W. Orchard Rd,yes,60542,N Aurora,Kendall,IL,USA,http://earthmovercu.coop,,,,,630-844-4950,yes,Credit Union,yes,address,both,local,,,,,,,-88.315613,41.6992457,dotcoop,SE,2020-12-26
271,Earthmover Credit Union,1260 Ogden Ave,yes,60543,Montgomery,Kendall,IL,USA,http://earthmovercu.coop,,,,,630-844-4950,yes,Credit Union,yes,address,both,local,,,,,,,-88.315613,41.6992457,dotcoop,SE,2020-12-26
274,Earthmover Credit Union,1735 N. Farnsworth Ave,yes,60505,Aurora,Kendall,IL,USA,http://earthmovercu.coop,,,,,630-844-4950,yes,Credit Union,yes,address,both,local,,,,,,,-88.315613,41.6992457,dotcoop,SE,2020-12-26
275,Earthmover Credit Union,2195 Baseline Rd,yes,60543,Oswego,Kendall,IL,USA,http://earthmovercu.coop,,,,,,,Credit Union,yes,address,both,local,,,,,,,-88.315613,41.6992457,dotcoop,SE,2020-12-26
276,East Beverly Association,1777 W. 103rd St.,yes,60643,Chicago,,IL,USA,https://www.facebook.com/EastBeverlyAssociation,,,,,,,Association Office,yes,address,both,local,,,,,,,-87.66674107,41.70653278,Accelerate77,SE,2020-12-26
277,Eat to Live Incubator Farm,325-7 W 70th Pl,yes,60621,Chicago,,IL,USA,https://everythinggood.org/contact/,,,,,,,Farm,yes,address,both,local,,,,,,,-87.6331095,41.7660179,SEWG,DC,2020-12-26
278,Edgebrook Branch Library,5331 W. Devon Avenue,yes,60646,Chicago,,IL,USA,http://www.chipublib.org/locations/27,,,,,,,Library,yes,address,both,local,,,,,,,-87.76134452,41.99723367,data.cityofchicago.org,SE,2020-12-26
279,Edgebrook Neighborhood Farmers Market,6525 N. Hiawatha Ave.,yes,60646,Chicago,,IL,USA,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,Farmers Market,yes,address,both,local,,,,,,,-87.76201799,41.99952143,City of Chicago Farmers Markets,SE,2020-12-26
280,Edgewater Branch Library,6000 N. Broadway,yes,60660,Chicago,,IL,USA,http://www.chipublib.org/locations/28,,,,,,,Library,yes,address,both,local,,,,,,,-87.66038442,41.99092876,data.cityofchicago.org,SE,2020-12-26
281,Edgewater Comm. Cncl's Edgewater Env. Sust. Proj.,6044 N Broadway St,yes,60660,Chicago,,IL,USA,http://www.sustainedgewater.org/,,,,,,,Association Office,yes,address,both,local,,,,,,,-87.66042828,41.9922667,Accelerate77,SE,2020-12-26
282,Edgewater Farmers Market,1200 W. Norwood Ave.,yes,60660,Chicago,,IL,USA,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,Farmers Market,yes,address,both,local,,,,,,,-87.66035005,41.99191268,City of Chicago Farmers Markets,SE,2020-12-26
283,Edgewater Glen Association,1420 W. Glenlake,yes,60660,Chicago,,Il,USA,https://www.facebook.com/edgeglen,,,,,,,Association Office,yes,address,both,local,,,,,,,-87.66573032,41.99274781,Accelerate77,SE,2020-12-26
284,Edgewater Reads,,,60660,Chicago,,IL,USA,https://www.facebook.com/EdgewaterReads,,,,,,,Library,yes,address,directory,local,,,,,,,,,SEWG,DC,2020-12-26
285,Edgewater Work Bench,1130 W. THORNDALE,yes,60660,Chicago,,IL,USA,http://www.edgewaterworkbench.com/about-us/,,,,,,,Cooperative,yes,address,both,local,,,,,,,-87.65916629,41.99012896,SEWG,DC,2020-12-26
286,Edible Gardens,2200 N Cannon Dr,yes,60614,Chicago,,Il,USA,http://www.greencitymarket.org/programs/program.asp?id=8,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.63220666,41.92215995,Accelerate77,SE,2020-12-26
287,Edison Park Farmers Market,6730 N. Olmsted Ave.,yes,60631,Chicago,,IL,USA,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,Farmers Market,yes,address,both,local,,,,,,,-87.8199826,42.00370379,City of Chicago Farmers Markets,SE,2020-12-26
288,Edna White Century Garden,1812-26 W Monterey Ave,yes,60643,Chicago,,IL,USA,https://www.facebook.com/groups/221301244573122/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.6681306,41.6914906,SEWG,DC,2020-12-26
289,El Conuco Farmers Market at Humboldt Park,California Ave. & Division St.,yes,60622,Chicago,,IL,USA,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,Farmers Market,yes,address,both,local,,,,,,,-87.67088,41.897111,City of Chicago Farmers Markets,SE,2020-12-26
290,El Coqui Garden,2600-02 W Crystal St,yes,60622,Chicago,,IL,USA,https://www.facebook.com/elcoquichicago/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.6920867,41.9042085,SEWG,DC,2020-12-26
291,El Jardin de las Mariposas,1833-1837 S Carpenter St,yes,60608,Chicago,,IL,USA,https://www.facebook.com/pilsenmariposas/?epa=SEARCH_BOX,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.6529242,41.8569875,SEWG,DC,2020-12-26
292,El Paseo Community Garden,944 W. 21st Street,yes,60608,Chicago,,IL,USA,https://www.facebook.com/ElPaseoCommunityGarden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.64987579,41.8539928,Neighborspace,SE,2020-12-26
293,El Yunque Garden,1459 N Artesian Ave,yes,60622,Chicago,,IL,USA,https://www.facebook.com/ElYunqueGarden,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.68829225,41.90773621,Neighborspace,SE,2020-12-26
294,Eli's Cheesecake Company Farm Stand and Fresh Market,6701 West Forest Preserve Drive,yes,60634,Chicago,,IL,USA,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,Farmers Market,yes,address,both,local,,,,,,,-87.79430811,41.95994165,City of Chicago Farmers Markets,SE,2020-12-26
295,Elliott Donnelley Youth Center,3947 S. Michigan Avenue,yes,60653,Chicago,,IL,USA,http://chicagoyouthcenters.org/bronzeville-elliott-donnelley/,,,,,,,Community Center,yes,address,both,local,,,,,,,-87.62319794,41.82293391,Accelerate77,SE,2020-12-26
296,Emerald Triangle,2100-2116 S Emerald Ave,yes,60608,Chicago,,IL,USA,http://neighbor-space.org/emerald-triangle-garden/,,,,,,,Open Space,yes,address,both,local,,,,,,,-87.6454197,41.8477191,SEWG,DC,2020-12-26
297,Emma Goldman Cooperative,2449 N Monticello Ave,yes,60647,Chicago,,IL,USA,http://chicagocoop.net/directory/,,,,,,,Housing Coop,yes,address,both,local,,,,,,,,,SEWG,DC,2020-12-26
298,Englewood Comm. Cultural Planning Cncl. (EC3),513 W. 72nd Street,yes,60621,Chicago,,IL,USA,http://www.facebook.com/pages/Englewood-Community-Cultural-Planning-Council-EC3/117367001609179,,,,,,,Association Office,yes,address,both,local,,,,,,,-87.63745593,41.76339684,Accelerate77,SE,2020-12-26
299,Englewood/Anchor House Farmers Market *,71st St. & Racine Ave.,yes,60636,Chicago,,IL,USA,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,Farmers Market,yes,address,both,local,,,,,,,-87.670123,41.774317,City of Chicago Farmers Markets,SE,2020-12-26
300,Enlace Chicago,2756 S. Harding Ave,yes,60623,Chicago,,IL,USA,www.enlacechicago.org,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.72334085,41.84137342,Accelerate77,SE,2020-12-26
301,Equality Illinois,3318 N. Halsted Street,yes,60657,Chicago,,IL,USA,http://www.eqil.org/,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.64943381,41.94230468,Accelerate77,SE,2020-12-26
302,ESCU ETHICON SUTURE CU,5235 W 65TH ST # C,yes,60638,Chicago,,IL,USA,https://www.creditunionsonline.com/credit-union-4990.html,,,,,(708) 563-6205,yes,Credit Union,yes,address,both,local,,,,,,,-87.7536124,41.774065,SEWG,DC,2020-12-26
303,ETA Creative Arts Foundation,7558 S. South Shore Dr,yes,60649,Chicago,,IL,USA,http://www.etacreativearts.org/,,,,,,,Arts Centre,yes,address,both,local,,,,,,,-87.5561308,41.75939905,Accelerate77,SE,2020-12-26
304,Ethicon Suture Credit Union,5235 W 65th St Unit C,yes,60638,Chicago,,IL,USA,http://creditunionaccess.com/cu61448.htm,,,,,(708)728-0225,yes,Credit Union,yes,address,both,local,,,,,,,-87.75438945,41.77444233,creditunionaccess.com,SE,2020-12-26
305,Experimental Station,6100 S. Blackstone Ave.,yes,60637,Chicago,,Il,USA,www.experimentalstation.org,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.59038586,41.78388065,Accelerate77,SE,2020-12-26
306,Faith in Place,70 East Lake Street,yes,60601,Chicago,,IL,USA,faithinplace.org,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.62530779,41.8857337,Accelerate77,SE,2020-12-26
307,Families Together Co-Op,1500 W Elmdale Ave,yes,60660,Chicago,,IL,USA,ftcns.org,,,,,773-381-5200,yes,School,yes,address,both,local,,,,,,,-87.66761255,41.99091884,Shareable Map,SE,2020-12-26
308,Family Matters (Project Sage),7731 N. Marshfield,yes,60626,Chicago,,IL,USA,www.familymatterschicago.org,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.67180235,42.02158693,Accelerate77,SE,2020-12-26
309,FAMILY WEALTH COLLECTIVE,180 N STETSON AVE # 3500,yes,60601,Chicago,,IL,USA,http://www.familywealthcollective.com/,,,,,312-540-9840.,yes,Cooperative,yes,address,both,local,,,,,,,-87.6227258,41.8854342,SEWG,DC,2020-12-26
310,FAMILY WEALTH COLLECTIVE,30 S WACKER DR # 2200,yes,60606,Chicago,,IL,USA,http://www.familywealthcollective.com/,,,,,312-540-9840.,yes,cooperative,yes,address,both,local,,,,,,,-87.6373976,41.8808789,SEWG,DC,2020-12-26
311,Far South Community Development Corporation,9923 S. Halsted St,yes,60628,Chicago,,Il,USA,http://www.farsouthcdc.org/,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.64289728,41.71379671,Accelerate77,SE,2020-12-26
312,FARMERS,,,,Chicago,,IL,USA,https://agents.farmers.com/search.html?_ga=2.235011721.961020299.1605901842-122989428.1605901842,,,,,,,Mutual Insurance,check,address,both,national,National Coop,,,,,,-87.5475046,41.65299,SEWG,DC,2020-12-26
313,Fellowship Baptist Church Credit Union,4543 S Princeton Ave,yes,60609,Chicago,,IL,USA,http://creditunionaccess.com/cu64252.htm,,,,,(773)373-8537,yes,Credit Union,yes,address,both,local,,,,,,,-87.63334748,41.81157081,creditunionaccess.com,SE,2020-12-26
314,FILM COLLECTIVE PRODUCTIONS,150 N MICHIGAN 800,yes,60603,Chicago,,IL,USA,http://filmcollectiveproductions.com/,,,,,(312) 588-3391,yes,Cooperative,yes,address,both,local,,,,,,,-87.624948,41.8848158,SEWG,DC,2020-12-26
315,FIREMENS MUTUAL AID BENEFIT,223 W JACKSON BLVD # 1114,,60606,Chicago,,IL,USA,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,(312) 427-7111,yes,Mutual Insurance,check,address,both,national,,,,,,,-87.6347443,41.8779246,SEWG,DC,2020-12-26
316,First Financial Credit Union,2942 W Peterson Ave,yes,60659,Chicago,,IL,USA,https://www.firstfcu.org/,,,,,(773)565-2000,yes,Credit Union,yes,address,both,local,,,,,,,-87.70323082,41.99051146,creditunionaccess.com,SE,2020-12-26
317,FIRST NORTHERN CREDIT UNION,1705 N SHERMAN AVE,yes,60201,Evanston,,IL,USA,https://www.fncu.org/,,,,,(847) 332-0240,yes,Credit Union,yes,address,both,local,,,,,,,-87.6816333,42.0487698,SEWG,DC,2020-12-26
318,First Northern Credit Union,230 W Monroe St Suite 2850,yes,60606,Chicago,,IL,USA,https://www.fncu.org/,,,,,(312)332-6357,yes,Credit Union,yes,address,both,local,,,,,,,-87.634256,41.88074386,creditunionaccess.com,SE,2020-12-26
319,FIRST NORTHERN CREDIT UNION,541 N FAIRBANKS CT # 120,yes,60611,Chicago,,IL,USA,https://www.fncu.org/,,,,,(312) 527-2755,yes,Credit Union,yes,address,both,local,,,,,,,-87.6198335,41.8922354,SEWG,DC,2020-12-26
320,Five Point Holistic Health,3234 W FULLERTON AVE,yes,60647,Chicago,,IL,USA,http://www.fivepointholistichealth.com/,,,,,,,Workers Collective,yes,address,both,local,,,,,,,-87.7088889,41.925024,SEWG,DC,2020-12-26
321,Food Not Bombs,2859 W North Ave,yes,60647,Chicago,,IL,USA,https://www.facebook.com/fnbhumboltpark/,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.69820003,41.91018437,Shareable Map,SE,2020-12-26
