name,address,postal code,city1,st,city,Country,type,check,website,Link to Contact Data,Opening Hours (Url when available),Tags (seperate by comma),Short description English,Short description local language,Image Filename/Link,Image License,Image Credit,Email-Address,is Mail public,Telephone Number,Phone public,GeocodeQualityType,lon,lat,Source,Completed by,organic,fair-trade,regional,category-tag1,category-tag2,category-tag3
Bronzeville Community Market,4400 S. Cottage Grove Ave,60653,Chicago,IL,"Chicago, IL 60653",USA,Farmers Market,yes,http://www.localharvest.org/bronzeville-community-market-M1993,,,,,,,,,,,,,,-87.60677009,41.81498316,Accelerate77,SE,,,,,,
Bronzeville Community Market *,Martin Luther King Dr. & 26th St.,60616,Chicago,IL,"Chicago, IL 60616",USA,Farmers Market,yes,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,,,,,,,,-87.626719,41.844775,City of Chicago Farmers Markets,SE,,,,,,
Bronzeville Green,3757 S. Wabash Avenue,60653,Chicago,IL,"Chicago, IL 60653",USA,gardener,yes,http://www.trcwabash.org/bronzeville-green-organic-landscaping.html,,,,,,,,,,,,,,-87.62476668,41.82614039,Accelerate77,SE,,,,,,
Bucktown Community Garden,1724 N Wilmot Ave.,,Chicago,IL,"Chicago, IL",USA,,no,,,,,,,,,,,,,,,-87.6802411,41.9128877,SEWG,DC,,,,,,
BROTHERS HEALTH COLLECTIVE,2517 S ARCHER AVE,60608,Chicago,IL,"Chicago, IL 60608",USA,Credit Union,yes,https://www.facebook.com/BrothersHealthChicago/,,,,,,,,,,,(312) 808-1044,,,-87.6469756,41.8467267,SEWG,DC,,,,,,
Bucktown Community Organization,1658 N. Milwaukee Ave. #520,60647,Chicago,IL,"Chicago, IL 60647",USA,Social Workshop,yes,http://www.bucktown.org/,,,,,,,,,,,,,,-87.67930655,41.91146275,Accelerate77,SE,,,,,,
Bucktown-Wicker Park Branch Library,1701 N. Milwaukee Avenue,60647,Chicago,IL,"Chicago, IL 60647",USA,Library,yes,http://www.chipublib.org/locations/138,,,,,,,,,,,,,,-87.68031899,41.91232998,data.cityofchicago.org,SE,,,,,,
Budlong Woods Branch Library,5630 N. Lincoln Ave.,60053,Chicago,IL,"Chicago, IL 60053",USA,Library,yes,http://www.chipublib.org/locations/137/,,,,,,,,,,,,,,-87.76836422,42.0343949,Accelerate77,SE,,,,,,
Burling Park,2931 N Burling Street,60657,Chicago,IL,"Chicago, IL 60657",USA,Community Garden,yes,https://www.facebook.com/Burling-Park-of-Lake-View-334146826628425/,,,,,,,,,,,,,,-87.6478209,41.935422,SEWG,DC,,,,,,
C T A F C Federal Credit Union,14 S Ashland Ave,60607,Chicago,IL,"Chicago, IL 60607",USA,Credit Union,yes,http://creditunionaccess.com/cu18882.htm,,,,,,,,,,,(312)243-5190,,,-87.66688243,41.88111986,creditunionaccess.com,SE,,,,,,
C.L.E.S.E. Garden,2953 W. Lawrence Ave,60625,Chicago,IL,"Chicago, IL 60625",USA,Community Garden,yes,www.clese.org,,,,,,,,,,,,,,-87.70294783,41.96840908,Accelerate77,SE,,,,,,
CABALLEROS DE SAN JUAN CU,2359 N WASHTENAW AVE,60647,Chicago,IL,"Chicago, IL 60647",USA,Credit Union,yes,https://www.creditunion1.org,,,,,,,,,,,(773) 278-8660,,,-87.6954364,41.9245393,SEWG,DC,,,,,,
Calumet Ecological Park Association,12932 S. Escanaba Avenue,60633,Chicago,IL,"Chicago, IL 60633",USA,Social Workshop,no,http://www.calumetstewardship.org/contact#.VxhPgpMrK34,,,,,,,,,,,,,,-87.55328804,41.66040232,Accelerate77,SE,,,,,,
Calumet Heights Community Association Garden,2642 E. 93rd St,,Chicago,IL,"Chicago, IL",USA,,no,,,,,,,,,,,,,,,-87.559201,41.726612,SEWG,DC,,,,,,
Calumet Stewardship Initiative,13300 S. Baltimore Ave,60633,Chicago,IL,"Chicago, IL 60633",USA,Social Workshop,no,www.calumetstewardshipinitiative.org/,,,,,,,,,,,,,,-87.54723906,41.65366923,Accelerate77,SE,,,,,,
Bloomingdale Arts Building,2130 W. Fulton Street,60612,Chicago,IL,"Chicago, IL 60612",USA,Housing Coop,yes,https://chicagoartistscoalition.org/residencies,,,,,,,,,,,,,,-87.6806929,41.8869734,SEWG,DC,,,,,,
CafeChicago,3416 W. Bryn Mawr,60659,Chicago,IL,"Chicago, IL 60659",USA,Cooperative,yes,http://cafechicago.org/,,,,,,,,,,,,,,-87.71445184,41.98308578,Steve Ediger,SE,,,,,,
Campbell Co-Op Community Garden,1357-59 N Campbell Ave,60622,Chicago,IL,"Chicago, IL 60622",USA,Community Garden,yes,https://www.facebook.com/CampbellCoOpCommunityGarden,,,,,,,,,,,,,,-87.689221,41.906452,SEWG,DC,,,,,,
Campbell Cooperative Garden,2483 W Hirsch St,60622,Chicago,IL,"Chicago, IL 60622",USA,Community Garden,yes,https://www.facebook.com/CampbellCoOpCommunityGarden/,,,,,,,,,,,,,,-87.68927612,41.90655697,Shareable Map,SE,,,,,,
Canaryville Branch Library,642 W. 43rd Street,60609,Chicago,IL,"Chicago, IL 60609",USA,Library,yes,http://www.chipublib.org/locations/2,,,,,,,,,,,,,,-87.64230431,41.81632939,data.cityofchicago.org,SE,,,,,,
Carlson Community Services,3938 W. Belle Plaine Avenue,60618,Chicago,IL,"Chicago, IL 60618",USA,Social Workshop,yes,http://www.carlsoncommunityservices.org/,,,,,,,,,,,,,,-87.72660243,41.95558046,Accelerate77,SE,,,,,,
Casa Michoacan,1638 S. Blue Island Ave,60612,Chicago,IL,"Chicago, IL 60612",USA,Social Workshop,yes,https://www.facebook.com/Fedecmi,,,,,,,,,,,,,,-87.66025018,41.85905796,Accelerate77,SE,,,,,,
CASEL -- COLLABORATIVE FOR ACADEMIC,815 W VAN BUREN ST,60607,Chicago,IL,"Chicago, IL 60607",USA,Social Workshop,yes,https://casel.org/,,,,,,,,,,,312-226-3770,,,-87.6479362,41.8764481,SEWG,DC,,,,,,
Catatumbo Collective,8900 S. Green Bay Avenue,60617,Chicago,IL,"Chicago, IL 60617",USA,Farm,yes,https://www.facebook.com/CatatumboCooperative/,,,,,,,,,,,,,,-87.5419949,41.7337025,SEWG,DC,,,,,,
Center for Economic Research & Social Change,4015 N Rockwell St,60618,Chicago,IL,"Chicago, IL 60618",USA,Social Workshop,yes,cersc.org,,,,,,,,,,,,,,-87.69314204,41.9542701,Shareable Map,SE,,,,,,
Center For Neighborhood Technology,2125 W North Ave,60647,Chicago,IL,"Chicago, IL 60647",USA,Social Workshop,no,cnt.org,,,,,,,,,,,,,,-87.68060028,41.91033714,Shareable Map,SE,,,,,,
Center for Humans and Nature,"20 N. Wacker Drive, #2807",60606,Chicago,IL,"Chicago, IL 60606",USA,School,yes,www.humansandnature.org/,,,,,,,,,,,,,,-87.63686313,41.88222588,Accelerate77,SE,,,,,,
Center for New Horizons,4150 S King Dr,60653,Chicago,IL,"Chicago, IL 60653",USA,Social Workshop,yes,cnh.org,,,,,,,,,,,,,,-87.61668875,41.81906697,Accelerate77,SE,,,,,,
Center on Halsted,3656 North Halsted Street,60613,Chicago,IL,"Chicago, IL 60613",USA,Social Workshop,yes,www.centeronhalsted.org,,,,,,,,,,,,,,-87.64960862,41.94834248,Accelerate77,SE,,,,,,
Central Lake View Neighbors,836 W Wellington Ave,60657,Chicago,IL,"Chicago, IL 60657",USA,Association Office,yes,http://www.clvn.org/,,,,,,,,,,,,,,-87.65157524,41.93640888,Accelerate77,SE,,,,,,
Centro de Trabajadores Unidos,10638 S Ewing Ave,60617,Chicago,IL,"Chicago, IL 60657",USA,Social Workshop,yes,www.centrodetrabajadoresunidos.org,,,,,,,,,,,,,,-87.5356593,41.7015583,Steve Ediger,SE,,,,,,
Changing Worlds,"329 W. 18th Street, Suite 506",60616,Chicago,IL,"Chicago, IL 60616",USA,Social Workshop,yes,changingworlds.org,,,,,,,,,,,(312) 421-8040,,,-87.63657764,41.85765707,Shareable Map,SE,,,,,,
Cambridge Manor Apartments,2631 S Indiana,60616,Chicago,IL,"Chicago, IL 60616",USA,Housing Coop,yes,https://www.facebook.com/pages/Cambridge-Manor/133556633362837,,,,,,,,,,,,,,-87.6208928,41.8446749,SEWG,DC,,,,,,
Carmen Marine Cooperative,5030 North Marine Drive,60640,Chicago,IL,"Chicago, IL 60640",USA,Housing Coop,check,http://chicagocoop.net/directory/,,,,,,,,,,,773.728.1770 ,,,,,,,,,,,,
Chi ChiCo,,,Chicago,IL,"Chicago, IL",USA,,no,,,,,,,,,,,,,,,,,SEWG,DC,,,,,,
Chaos Brew Club,2417 W. Hubbard,60612,Chicago,IL,"Chicago, IL 60612",USA,Cooperative,yes,https://www.chaosbrewclub.net/,,,,,,,,,,,,,,-87.6874271,41.8892726,SEWG,DC,,,,,,
Chicago Area Office Federal Credit Union,600 W Madison St,60661,Chicago,IL,"Chicago, IL 60661",USA,Credit Union,yes,http://www.chicagoareafcu.org/,,,,,,,,,,,(312)575-5600,,,-87.64267453,41.88192786,creditunionaccess.com,eaz,,,,,,
Chicago Avenue Garage Federal Credit Union,4909 W Division St Suite 403,60651,Chicago,IL,"Chicago, IL 60651",USA,Credit Union,yes,http://creditunionaccess.com/cu02495.htm,,,,,,,,,,,(773)626-1100,,,-87.74862967,41.90223439,creditunionaccess.com,SE,,,,,,
Chicago Chamber of Commons,,,Chicago,IL,"Chicago, IL",USA,,no,,,,,,,,,,,,,,,,,SEWG,DC,,,,,,
Chicago Bee Branch Library,3647 S. State Street,60609,Chicago,IL,"Chicago, IL 60609",USA,Library,yes,http://www.chipublib.org/locations/29,,,,,,,,,,,,,,-87.62640956,41.82838169,data.cityofchicago.org,SE,,,,,,
Chicago Childcare Collective,,,Chicago,IL,"Chicago, IL",USA,Workers Collective,directory only,http://www.chichico.org/,,,,,,,,,,,,,,,,SEWG,DC,,,,,,
Chicago Community & Workers' Rights,2801 S Hamlin Ave,60623,Chicago,IL,"Chicago, IL 60623",USA,Union,yes,https://chicagoworkersrights.org/about/collaborations/,,,,,,,,,,,,,,-87.7192187,41.8404936,SEWG,DC,,,,,,
Chicago Community Gardens Alliance,"445 North Sacramento Blvd, Suite 204",60612,Chicago,IL,"Chicago, IL 60612",USA,Community Garden,yes,http://chicagocommunitygardens.org/contact-us/,,,,,,,,,,,,,,-87.7008823,41.8895641,SEWG,DC,,,,,,
Chicago Community Loan Fund,29 E Madison St # 1700,60602,Chicago,IL,"Chicago, IL 60602",USA,Social Workshop,yes,cclfchicago.org,,,,,,,,,,,,,,-87.62707044,41.88197993,Shareable Map,SE,,,,,,
Chicago Community Trust,"225 North Michigan Avenue, #2200",60601,Chicago,IL,"Chicago, IL 60601",USA,social Workshop,yes,https://www.cct.org/,,,,,,,,,,,,,,-87.6237553,41.8865015,SEWG,DC,,,,,,
Chicago Conservation Corps,Suite 2200,60602,Chicago,IL,"Chicago, IL 60602",USA,Social Workshop,yes,http://chicagoconservationcorps.org/,,,,,,,,,,,,,,-87.63246913,41.88258055,Accelerate77,SE,,,,,,
Chicago FarmWorks,407-419 N Kedzie,60612,Chicago,IL,"Chicago, IL 60612",USA,Farm,yes,https://www.heartlandalliance.org/program/chicago-farmworks-transitional-jobs/,,,,,,,,,,,,,,-87.705694,41.888547,SEWG,DC,,,,,,
Chicago Fire Officers' Association Credit Union,10231 S Western Ave Fl 2,60643,Chicago,IL,"Chicago, IL 60643",USA,Credit Union,yes,http://www.cfoacu.org/,,,,,,,,,,,(773)445-1700,,,-87.6815689,41.70764016,creditunionaccess.com,SE,,,,,,
Chicago Firefighter's Credit Union,6230 S Central Ave,60638,Chicago,IL,"Chicago, IL 60638",USA,Credit Union,yes,http://chicagofirefighterscu.com/,,,,,,,,,,,(773)581-5253,,,-87.76184662,41.77905913,creditunionaccess.com,SE,,,,,,
Chicago Firemans Association Credit Union,2453 S Archer Ave,60616,Chicago,IL,"Chicago, IL 60616",USA,Credit Union,yes,http://chicagofiremansacu.org/,,,,,,,,,,,(312)791-0834,,,-87.64450646,41.84805786,creditunionaccess.com,SE,,,,,,
CHICAGO FOOD COOP,,,Chicago,IL,"Chicago, IL",USA,Cooperative,directory only,http://www.chicagofoodcoop.org,,,,,,,,,,,,,,,,SEWG,DC,,,,,,
Chicago Food Policy Action Council,"1 N State St, Ste 1500",60602,Chicago,IL,"Chicago, IL 60602",USA,Social Workshop,yes,https://www.chicagofoodpolicy.com/,,,,,,,,,,,,,,-87.6284923,41.8828365,SEWG,DC,,,,,,
Chicago Freedom School,719 S. State Street,60605,Chicago,IL,"Chicago, IL 60605",USA,School,yes,http://chicagofreedomschool.org/,,,,,,,,,,,,,,-87.62738203,41.87252443,Shareable Map,SE,,,,,,
Chicago Gateway Green,"1000 N Milwaukee Ave, #302",60642,Chicago,IL,"Chicago, IL 60642",USA,Community Garden,yes,http://www.gatewaygreen.org/,,,,,,,,,,,,,,-87.66102087,41.89976038,Accelerate77,SE,,,,,,
CHICAGO GLASS COLLECTIVE,1770 W BERTEAU AVE # 203,60613,Chicago,IL,"Chicago, IL 60613",USA,Credit Union,yes,https://www.chicagoglasscollective.com/,,,,,,,,,,,216-543-2329,,,-87.6734081,41.9580976,SEWG,DC,,,,,,
CHICAGO GRASS ROOTS CRICULUM,4554 N BROADWAY ST #326,60640,Chicago,IL,"Chicago, IL 60640",USA,Credit Union,yes,http://grassrootscurriculum.org,,,,,,,,,,,773.387.1844,,,-87.6572959,41.9646577,SEWG,DC,,,,,,
Chicago Honey Co-op,2000 W Carroll Ave,60612,Chicago,IL,"Chicago, IL 60612",USA,Cooperative,yes,chicagohoneycoop.com,,,,,,,,,,,,,,-87.67683086,41.88776579,Shareable Map,SE,,,,,,
Chicago Honey Cooperative,1800 N. Clark St.,60614,Chicago,IL,"Chicago, IL 60614",USA,Cooperative,yes,http://www.chicagohoneycoop.com/contact/,,,,,,,,,,,,,,-87.63398077,41.9148328,Steve Ediger,SE,,,,,,
Chicago Instructional Tech,1608 N Milwaukee Ave # 703,60647,Chicago,IL,"Chicago, IL 60647",USA,Social Workshop,yes,http://voqal.org/,,,,,,,,,,,,,,-87.67778126,41.91047657,Shareable Map,SE,,,,,,
Chicago Justice Project,35 E Wacker Dr,60601,Chicago,IL,"Chicago, IL 60601",USA,Social Workshop,yes,http://chicagojustice.org/,,,,,,,,,,,,,,-87.62622741,41.88673096,Shareable Map,SE,,,,,,
Chicago Lawn Branch Library,6120 S. Kedzie Avenue,60629,Chicago,IL,"Chicago, IL 60629",USA,Library,yes,http://www.chipublib.org/locations/19,,,,,,,,,,,,,,-87.7033115,41.78196339,data.cityofchicago.org,SE,,,,,,
Chicago Lights,444 W. Chicago Ave,60610,Chicago,IL,"Chicago, IL 60610",USA,Farm,yes,https://www.chicagolights.org/our-programs/urban-farm/,,,,,,,,,,,,,,-87.6414958,41.89658327,Accelerate77,SE,,,,,,
Chicago Market - A Community Co-op,"4620 North Broadway, Chicago, IL 60640",60640,Chicago,IL,"Chicago, IL 60640",USA,Cooperative,yes,http://www.chicagomarket.coop/,,,,,,,,,,,312-493-9572,,,-87.6582693,41.965912,Steve Ediger,SE,,,,,,
Chicago Municipal Employees Credit Union,18 S Michigan Ave Suite 1000,60603,Chicago,IL,"Chicago, IL 60603",USA,Credit Union,yes,http://www.cmecuonline.org/,,,,,,,,,,,(312)236-2326,,,-87.6243817,41.88189519,creditunionaccess.com,SE,,,,,,
CHICAGO MUTUAL INSURANCE,300 S WACKER DR # 1250,,Chicago,IL,"Chicago, IL",USA,,no,https://www.libertymutual.com/insurance-office-chicago-il,,,,,,,,,,,(312) 347-1200,,,-87.6369152,41.8780652,SEWG,DC,,,,,,
CHICAGO MUNICIPAL EMPLOYEES CU,18 S MICHIGAN,60603,Chicago,IL,"Chicago, IL 60603",USA,Credit Union,yes,http://www.cmecuonline.org/,,,,,,,,,,,312 236-2326,,,-87.625001,41.8814882,SEWG,DC,,,,,,
Chicago Nettelhorst French Market,3252 N. Broadway,60657,Chicago,IL,"Chicago, IL 60657",USA,Farmers Market,yes,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,,,,,,,,-87.654198,41.940734,City of Chicago Farmers Markets,SE,,,,,,
Chicago Patchwork Gardens,2805 W. Chicago Ave,60612,Chicago,Il,"Chicago, Il 60612",USA,Community Garden,yes,http://chicagopatchworkfarms.com/,,,,,,,,,,,,,,-87.69688301,41.89556397,Accelerate77,SE,,,,,,
Chicago Patrolmen's Federal Credit UnioN,1407 W Washington Blvd,60607,Chicago,IL,"Chicago, IL 60607",USA,Credit Union,yes,www.cpdfcu.com,,,,,,,,,,,(312)726-8814,,,-87.6625745,41.88280433,creditunionaccess.com,SE,,,,,,
Chicago Podcast Cooperative,1917 N Elston Ave,60642,Chicago,IL,"Chicago, IL 60642",USA,Cooperative,yes,http://chicagopodcastcoop.com,,,,,,,,,,,,,,-87.6665142,41.9170945,SEWG,DC,,,,,,
Chicago Post Office Employees Credit Union,10025 S Western Ave,60643,Chicago,IL,"Chicago, IL 60643",USA,Credit Union,yes,http://cpoecu.com/,,,,,,,,,,,(773)881-2500,,,-87.68168141,41.71141454,creditunionaccess.com,eaz,,,,,,
Chicago Public Radio,848 E Grand Ave,60611,Chicago,IL,"Chicago, IL 60611",USA,media,yes,wbez.org‎,,,,,,,,,,,,,,-87.61400807,41.89199904,Shareable Map,SE,,,,,,
Chicago Rarities Orchard Project (CROP),2596 N Milwaukee Ave,60647,Chicago,IL,"Chicago, IL 60647",USA,Farm,yes,http://www.chicagorarities.org/,,,,,,,,,,,,,,-87.70574455,41.92794874,Accelerate77,SE,,,,,,
Chicago Recycling Coalition,2430 N Cannon Dr,60614,Chicago,IL,"Chicago, IL 60614",USA,Social Workshop,yes,www.chicagorecycling.org,,,,,,,,,,,,,,-87.63733058,41.93120192,Accelerate77,SE,,,,,,
Chicago Rehab Network,140 S Dearborn St #1420,60603,Chicago,IL,"Chicago, IL 60603",USA,Social Workshop,yes,chicagorehab.org,,,,,,,,,,,,,,-87.62944927,41.87996739,Shareable Map,SE,,,,,,
Chicago Sustainable Manufacturing Center,1048 W. 37th St.,60609,Chicago,IL,"Chicago, IL 60609",USA,workshop for manufacture or repair of goods,yes,www.bubblydynamics.com/,,,,,,,,,,,,,,-87.65475787,41.82707396,Accelerate77,SE,,,,,,
Chicago Time Exchange,3509 S King Dr,60653,Chicago,IL,"Chicago, IL 60653",USA,Talent and Time Barter,yes,www.chicagotimeexchange.com,,,,,,,,,,,,,,-87.61677666,41.8301461,Shareable Map,SE,,,,,,
Chicago Urban Art Retreat Center,1957 S. Spaulding Ave.,60623,Chicago,IL,"Chicago, IL 60623",USA,Arts Centre,yes,www.urbanartretreat.com,,,,,,,,,,,,,,-87.70766747,41.85406702,Accelerate77,SE,,,,,,
Chicago Volunter Doulas,P.O.Box 5851,60680,Chicago,IL,"Chicago, IL 60680",USA,Workers Collective,directory only,https://www.chicagovolunteerdoulas.org,,,,,,,,,,,,,,,,SEWG,DC,,,,,,
Chicago Wilderness Corporate Council,"8 South Michigan Avenue, #2101",60603,Chicago,IL,"Chicago, IL 60603",USA,Association Office,yes,www.chicagowilderness.org,,,,,,,,,,,,,,-87.62438428,41.88202857,Accelerate77,SE,,,,,,
Chicago Wisdom Project,5655 S. University Avenue,60637,Chicago,IL,"Chicago, IL 60637",USA,Social Workshop,yes,http://chicagowisdomproject.org/,,,,,,,,,,,,,,-87.59800623,41.79224841,Accelerate77,SE,,,,,,
Chicago Zine Fest,1104 S Wabash Ave,60605,Chicago,IL,"Chicago, IL 60605",USA,media,yes,http://chicagozinefest.org,,,,,,,,,,,,,,-87.62596305,41.86921062,Shareable Map,SE,,,,,,
ChiCommons Cooperative,2619 E 76th,60649,Chicago,IL,"Chicago, IL",USA,Cooperative,yes,http://chicommons.coop,,,,,,,,,,,,,,-87.5606783,41.7570478,Steve Ediger,SE,,,,,,
ChiHackNight,"8, 222 W Merchandise Mart Plaza",60654,Chicago,IL,"Chicago, IL 60654",USA,Social Workshop,yes,http://chihacknight.org,,,,,,,,,,,,,,-87.636511,41.887141,Steve Ediger,SE,,,,,,
Children’s Garden of Hope,4052-58 W Potomac Ave,60651,Chicago,IL,"Chicago, IL 60651",USA,Community Garden,yes,https://www.facebook.com/cgohchicago/,,,,,,,,,,,,,,-87.728458,41.904708,SEWG,DC,,,,,,
Childrens Garden of Hope,4052 West Potomac,60651,Chicago,IL,"Chicago, IL 60651",USA,Community Garden,yes,https://www.facebook.com/childrensgardenofhope/,,,,,,,,,,,,,,-87.72779874,41.90454148,Accelerate77,SE,,,,,,
CHILDRENS LITERACY INITIATIVE,641 W LAKE ST 200,60661,Chicago,IL,"Chicago, IL 60661",USA,Social Workshop,yes,https://cli.org/,,,,,,,,,,,(312) 726-7320,,,-87.644481,41.885383,SEWG,DC,,,,,,
Chinatown Branch Library,2100 S. Wentworth Avenue,60616,Chicago,IL,"Chicago, IL 60616",USA,Library,yes,http://www.chipublib.org/locations/20,,,,,,,,,,,,,,-87.63190778,41.85430476,data.cityofchicago.org,SE,,,,,,
Chinese American Museum,238 W. 23rd Street,60616,Chicago,IL,"Chicago, IL 60616",USA,museum,yes,www.ccamuseum.org,,,,,,,,,,,,,,-87.63416412,41.85103361,Accelerate77,SE,,,,,,
Chinese American Service League,2141 S. Tan Court,60616,Chicago,IL,"Chicago, IL 60616",USA,Social Workshop,yes,www.caslservice.org,,,,,,,,,,,,,,-87.63480216,41.85491579,Accelerate77,SE,,,,,,
Chinese Community Center,250 W. 22nd Place,60616,Chicago,IL,"Chicago, IL 60616",USA,Social Workshop,yes,ccbachicago.org,,,,,,,,,,,,,,-87.6333971,41.85224382,Accelerate77,SE,,,,,,
Chinese Mutual Aid Association,1016 W Argyle St,60640,Chicago,Il,"Chicago, Il 60640",USA,Social Workshop,yes,www.chinesemutualaid.org/,,,,,,,,,,,,,,-87.65561547,41.97339231,Accelerate77,SE,,,,,,
Civic Knowledge Project,1115 E. 58th Street,60637,Chicago,IL,"Chicago, IL 60637",USA,Social Workshop,no,http://civicknowledge.uchicago.edu,,,,,,,,,,,,,,-87.59840865,41.78951162,Accelerate77,SE,,,,,,
Chatham Park South Coop,660 e 85th,60619,Chicago,IL,"Chicago, IL 60619",USA,Housing Coop,yes,http://chathamparkvillagecoop.com/,,,,,,,,,,,,,,-87.6069759,41.7403397,SEWG,DC,,,,,,
City Bureau,6100 S. Blackstone Ave.,60637,Chicago,Il,"Chicago, Il 60637",USA,media,yes,https://www.citybureau.org/,,,,,,,,,,,,,,-87.59038586,41.78388065,Darryl Holliday,SE,,,,,,
City Farm,1204 N. Clybourn Ave.,60610,Chicago,IL,"Chicago, IL 60610",USA,Farm,yes,www.facebook.com/CityFarmChicago/,,,,,,,,,,,,,,-87.63980332,41.90382675,Accelerate77,SE,,,,,,
Clearing Branch Library,6423 W. 63rd Place,60638,Chicago,IL,"Chicago, IL 60638",USA,Library,yes,http://www.chipublib.org/locations/21,,,,,,,,,,,,,,-87.78178416,41.77667847,data.cityofchicago.org,SE,,,,,,
COLLECTIVE BIAS,322 S GREEN ST # 510,,Chicago,IL,"Chicago, IL",USA,,no,http://vcollectivechicago.com/,,,,,,,,,,,312.878.3144,,,-87.648787,41.8769749,SEWG,DC,,,,,,
COLLECTIVE DANCE,1730 W FULLERTON AVE # 24,60614,Chicago,IL,"Chicago, IL 60614",USA,,no,https://www.collectivedancechicago.com/,,,,,,,,,,,312-522-1388,,,-87.6730624,41.9259915,SEWG,DC,,,,,,
COLLECTIVE OFFICE,9 E 24TH ST,60616,Chicago,IL,"Chicago, IL 60616",USA,,no,http://collectiveoffice.com,,,,,,,,,,,1-312-479-4770,,,-87.6264515,41.8490047,SEWG,DC,,,,,,
Co-Prosperity Sphere,3219 S Morgan St,60608,Chicago,IL,"Chicago, IL 60608",USA,Arts Centre,yes,http://coprosperity.org/,,,,,,,,,,,,,,-87.65099632,41.83572722,Accelerate77,SE,,,,,,
Columbus Park Farmers Market *,Harrison St. & Central Ave.,60644,Chicago,IL,"Chicago, IL 60644",USA,Farmers Market,no,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,,,,,,,,-87.757606,41.881955,City of Chicago Farmers Markets,SE,,,,,,
Coleman Branch Library,731 E. 63rd Street,60637,Chicago,IL,"Chicago, IL 60637",USA,Library,yes,http://www.chipublib.org/locations/18,,,,,,,,,,,,,,-87.60717834,41.78030109,data.cityofchicago.org,SE,,,,,,
COMMUNICATE COOPERATIVE,,,Chicago,IL,"Chicago, IL",USA,,no,,,,,,,,,,,,,,,,,SEWG,DC,,,,,,
College and University Credit Union,208 W Kinzie St Suite 1,60654,Chicago,IL,"Chicago, IL 60654",USA,Credit Union,yes,http://creditunionaccess.com/cu60688.htm,,,,,,,,,,,(312)755-0997,,,-87.6341557,41.88925384,creditunionaccess.com,SE,,,,,,
Community Exchange Garden,8805 S Exchange,,Chicago,IL,"Chicago, IL",USA,,no,,,,,,,,,,,,,,,-87.5525534,41.7352708,SEWG,DC,,,,,,
Commmunities United,4749 N. Kedzie Ave #200,60625,Chicago,IL,"Chicago, IL 60625",USA,Social Workshop,yes,www.apncorganizing.org,,,,,,,,,,,,,,-87.70835696,41.96752494,Accelerate77,SE,,,,,,
Community & Economic Dev Association,208 S La Salle St # 1900,60604,Chicago,IL,"Chicago, IL 60604",USA,Social Workshop,yes,www.cedaorg.net/,,,,,,,,,,,,,,-87.63237426,41.87913914,Shareable Map,SE,,,,,,
Community Youth Development Institute,7836 South Union Avenue,60620,Chicago,Il,"Chicago, Il 60620",USA,School,no,https://www.cydihs.org,,,,,,,,,,,,,,-87.64172064,41.75181051,Accelerate77,SE,,,,,,
Community Federal Credit Union,4610 S Prairie Ave,60653,Chicago,IL,"Chicago, IL 60653",USA,Credit Union,yes,http://creditunionaccess.com/cu07256.htm,,,,,,,,,,,(773)373-8518,,,-87.61972673,41.81095679,creditunionaccess.com,SE,,,,,,
Concordia Place,3300 N. Whipple Street,60618,Chicago,IL,"Chicago, IL 60618",USA,Social Workshop,no,http://www.concordiaplace.org,,,,,,,,,,,,,,-87.70408934,41.94107016,Accelerate77,SE,,,,,,
Community Glue Workshop,1130 W. Thorndale Ave,60660,Chicago,Il,"Chicago, Il 60660",USA,Hackerspace,yes,http://communityglueworkshop.org/,,,,,,,,,,,,,,-87.65927776,41.99012649,Accelerate77,SE,,,,,,
Comrade Cycles,1908 W Chicago Ave,60622,Chicago,IL,"Chicago, IL 60622",USA,Workers Collective,yes,http://comradecycles.com/,,,,,,,,,,,,,,-87.67501132,41.89603448,Steve Ediger,SE,,,,,,
CORNERSTONE REAL ESTATE ADVSRS,150 S WACKER DR # 350,,Chicago,IL,"Chicago, IL",USA,,no,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,(312) 786-0055,,,-87.6374352,41.8795923,SEWG,DC,,,,,,
CORNERSTONE REALTY ADVISORS,7742 W HIGGINS RD # C101,,Chicago,IL,"Chicago, IL",USA,,no,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,(773) 594-1000,,,-87.8211239,41.9846356,SEWG,DC,,,,,,
Cooperativa Visionarias,,,Chicago,IL,,USA,Workers Collective,directory only,https://www.facebook.com/visionariascoop/,,,,,,,,,,,708.792.0932,Yes,,,,Steve Ediger,SE,,,,,,
Cornerstone,4628 North Clifton Avenue,60640,Chicago,Il,"Chicago, Il 60640",USA,Social Workshop,yes,www.ccolife.org/,,,,,,,,,,,,,,-87.65894468,41.96590848,Accelerate77,SE,,,,,,
COSTCO,,,Chicago,IL,"Chicago, IL",USA,,no,,,,,,,,,,,,,,,,,SEWG,DC,,,,,,
